"economic_object_code","economic_object_code_descn"
"3059","Other"
"3061","Canada Council"
"3062","Canadian Broadcasting Corporation"
"3063","International Development Research Centre"
"3064","National Arts Centre Corporation"
"3065","Telefilm Canada"
"3079","Other"
"3101","Marketable bonds payable in Canadian currency"
"3102","Canada Savings Bonds (CSB)"
"3103","Special nonmarketable securities"
"3104","Treasury bills"
"3105","Marketable bonds payable in foreign currencies"
"3106","Notes and loans payable in foreign currencies"
"3107","Canada bills payable in foreign currency"
"3111","Interest on superannuation and other pension accounts"
"3112","Interest on the Employment Insurance Account"
"3113","Interest on the Canada Pension Plan Account"
"3114","Interest on other liabilities"
"3121","Interest on Special Drawing Rights and other foreign exchange accounts"
"3131","Amortized Bond discounts and premiums"
"3142","Commission and remuneration on bonds"
"3143","Cost of servicing Canadian and foreign debt"
"3213","Losses of money"
"3214","Deficits and write-offs not elsewhere specified"
"3215","Deletion and write-offs of loans, investments and advances"
"3216","Loss on foreign currency transactions"
"3217","Forgiveness of loans, investments, and advances"
"3239","Transfers to non-budgetary funds and accounts"
"3241","Discounts/Rebates earned for early payment to suppliers or through the use of acquisition cards"
"3248","Damage and other claims against the Crown resulting from the Phoenix pay system transition"
"3249","Court awards to industry"
"3250","Court awards to persons"
"3251","Damage and other claims against the Crown"
"3252","Interest, administration or service charges, and other penalty charges"
"3253","Interest and service charges paid to financial institutions"
"3254","Removal of low value amounts related to program expenditures"
"3256","Canadian Security Intelligence Service"
"3257","Ex gratia payments"
"3258","Communications Security Establishment"
"3259","Miscellaneous expenditures not Elsewhere Classified"
"3261","Adjustment of provision for valuation of financial claims"
"3262","Adjustment of reserves for Loan Guarantees"
"3263","Allowance for increase in value of certain financial obligations"
"3269","Other adjustments"
"3299","Other subsidies and payments - Reallocation of capital expenditures"
"3421","General administrative services charged by other departments or by other programs within a department"
"3422","Suspense account (debit) - Other government departments"
"3424","Suspense activity allocation"
"3425","Reallocation of expenditures/costs within a department"
"3427","Reallocation of costs under shared cost programs"
"3428","Payments in lieu of taxes paid to Public Works and Government Services Canada (PWGSC)"
"3429","Other"
"3431","Overhead or other amounts charged directly to revolving funds by departments or agencies"
"3432","Interest charged to revolving funds by department of finance"
"3433","Reallocation of expenditures/costs within revolving funds"
"3439","Other"
"3441","Customs import duties"
"3442","Excise duties and special sales tax"
"3451","Amortization expenses"
"3452","Usage of inventory"
"3453","Recognition of unamortized expenses related to assets"
"3459","Amortization of other assets accounts"
"3461","Allowance for vacation pay and similar employee benefits"
"3462","Allowance for bad debts"
"3463","Expected Recoveries"
"3469","Charges to other liability accounts"
"3471","Incremental charges from other appropriations"
"3472","Incremental recoveries from other appropriations (credit)"
"3481","Actuarial gains/losses on public sector pension and other employee and veteran future benefits"
"3711","Overhead or other amounts recovered by departments and agencies from revolving funds"
"3712","Amounts recovered for general administrative services by other departments or by other programs within a department"
"3714","Suspense activity allocation"
"3715","Recoveries of costs under shared cost programs"
"3717","Recoveries of expenditures/costs within a department"
"3718","Suspense account (credit balance) - Other government departments"
"3719","Other"
"3721","Recovery of expenses through recognizing revenue from restricted specified purpose accounts"
"4200","Tax revenue (Total)"
"4500","Fuel Charge and Excess Emission Charges"
"4510","Licence fees"
"4513","Fees for passports, visas and citizenship certificates"
"4515","Oil royalties"
"4516","Natural resources royalties"
"4517","Other royalties"
"4518","Fees for the registration of trademarks, patents and copyrights"
"4519","Other revenue from rights and royalties"
"4520","Oil and gas leases"
"4521","Land leases"
"4525","Rental of unimproved (vacant) land"
"4526","Rental of works"
"4527","Rental of machinery and equipment"
"4528","Rental of concessions in government - owned facilities"
"4529","Rental of parking space"
"4530","Rental of residential buildings"
"4531","Rental of non-residential buildings"
"4535","Rental of real property to Crown corporations"
"4539","Other Returns from Lease and use of public property"
"4540","Sale of uniforms, clothing, etc."
"4542","Sales of electricity"
"4543","Sales of Natural gas"
"4544","Government publications, maps and charts"
"4545","Other goods manufactured by government"
"4546","Sales of information products"
"4547","Petroleum, oil and lubricants"
"4548","Public meals"
"4549","Sales of other goods"
"4551","Inspection fees"
"4554","Aviation regulations"
"4556","Supervision of race tracks"
"4558","Fees from assessments of financial institutions"
"4559","Other services of a Regulatory Nature"
"4560","Public Utility services, Including Water, Waste Water and Other Utilities"
"4561","Telecommunication services"
"4562","Dental services"
"4563","Hospital services"
"4564","Marine service and wharf revenue"
"4565","Other health services"
"4566","Engineering and scientific fees"
"4567","Airport services, landing and parking fees"
"4568","Technology centres services"
"4569","Other revenue from services of a non-regulatory nature"
"4570","Revenue for the provision of non-regulatory services to the United Nations"
"4571","Receipts from Crown corporations for other than real property"
"4574","Other services to Local Governments"
"4576","Police services to local, provincial and territorial governments"
"4577","Other services to Provincial and Territorial Governments"
"4578","Services to other national governments"
"4580","Revenue from patents/royalties"
"4581","Revenue from access to information fees and charges"
"4582","Revenue from advertising or sponsorship"
"4586","Not sufficient funds (NSF) administrative charges"
"4593","Miscellaneous"
