"Vendor","postal_code_vendor","contract_date","contract_value","commodity_code","commodity_code_descn","economic_object_code","economic_object_code_descn","contract_period_start","delivery_date","reporting_period","avg_lat","avg_long"
"CISTEL TECHNOLOGY INC.","K2E","2019-02-22",792039.6,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2019-02-22","2021-11-30","2020-2021-Q3",45.3480181206178,-75.7172745008679
"CISTEL TECHNOLOGY INC.","K2E","2018-12-05",525992.4,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2018-12-05","2020-11-29","2019-2020-Q2",45.3480181206178,-75.7172745008679
"CISTEL TECHNOLOGY INC.","K2E","2018-12-05",804780.58,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2018-12-05","2021-11-30","2020-2021-Q3",45.3480181206178,-75.7172745008679
"CISTEL TECHNOLOGY INC.","K2E","2018-12-05",67122,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2018-12-05","2019-03-31","2018-2019-Q3",45.3480181206178,-75.7172745008679
"CISTEL TECHNOLOGY INC.","K2E","2018-12-05",257504.4,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2018-12-05","2020-11-29","2018-2019-Q4",45.3480181206178,-75.7172745008679
"CISTEL TECHNOLOGY INC.","K2E","2017-01-30",849466.2,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2015-04-01","2018-03-31","2016-2017-Q4",45.3480181206178,-75.7172745008679
"CISTEL TECHNOLOGY INC.","K2E","2015-04-01",1132621.6,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2015-04-01","2019-03-31","2017-2018-Q4",45.3480181206178,-75.7172745008679
"COGENT SYSTEMS INC.","N5V","2012-06-28",12153048.78,"D301","ADP Facility Operation and Maintenance Services",473,"Information technology and telecommunications consultants","2012-06-28","2017-06-30","2017-2018-Q3",43.0106014638381,-81.1774160181462
"COSSETTE COMMUNICATION INC.","H3B","2022-11-09",107350,"T001","Market Research and Public Opinion Services (Formerly Telephone and",491,"Management consulting","2022-11-07","2023-03-31","2022-2023-Q3",45.5026968272966,-73.5729663737533
"Cofomo","K1N","2024-05-09",94092.09,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2024-05-09","2024-12-31","2025-2026-Q1",45.4244804721925,-75.6877856675134
"Cofomo","K1N","2024-05-09",94092.09,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2024-05-09","2024-08-30","2024-2025-Q1",45.4244804721925,-75.6877856675134
"Cofomo","K1N","2024-05-09",213574.11,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2024-05-09","2024-12-31","2024-2025-Q2",45.4244804721925,-75.6877856675134
